case_id,state,district_type,project_type,case_opened_date,snapshot_date,land_area_hectares,land_type,affected_owner_count,is_multi_village,has_title_dispute,has_court_case,has_objection,compensation_estimate_inr_lakh,compensation_funding_available,notification_stage,days_since_case_opened,land_notified_percent,award_completed_percent,compensation_disbursed_percent,possession_completed_percent,delay_label,delay_risk,delay_probability,actual_delay_days
SYN-LA-00001,Uttar Pradesh,Rural,Urban Infrastructure,2018-06-10,2020-03-03,3.18,Agricultural,17,0,0,0,1,65.74,1,3D issued,632,100,73.0,43.5,25.1,1,Medium,0.517,195
SYN-LA-00002,Punjab,Rural,Railway,2021-11-19,2022-08-22,5.07,Agricultural,9,1,0,1,0,515.63,1,3A issued,276,41.6,39.6,23.6,0,1,High,0.654,299
SYN-LA-00003,Punjab,Urban,Railway,2024-05-08,2025-04-03,8.43,Agricultural,3,1,0,0,0,261.64,1,3D issued,330,87.6,58.9,47.5,23.3,0,Medium,0.444,0
SYN-LA-00004,Madhya Pradesh,Semi-urban,Urban Infrastructure,2018-08-24,2019-09-09,2.51,Agricultural,8,0,0,0,0,56.24,1,3G award,381,77.3,77.0,74.9,69.0,0,Low,0.123,0
SYN-LA-00005,Rajasthan,Urban,Urban Infrastructure,2018-09-11,2020-07-29,3.79,Agricultural,19,0,0,0,0,77.15,1,3G award,687,100,100,94.7,86.2,0,Low,0.287,0
SYN-LA-00006,Chhattisgarh,Urban,Industrial Corridor,2024-11-14,2026-03-22,0.71,Agricultural,20,1,1,0,0,34.41,1,3A issued,493,47.1,45.1,18.9,3.7,1,High,0.681,276
SYN-LA-00007,Rajasthan,Rural,Railway,2024-09-16,2026-01-25,2.72,Residential,31,1,1,0,1,106.39,1,3D issued,496,73.5,62.9,58.4,49.3,1,High,0.748,189
SYN-LA-00008,Odisha,Semi-urban,Urban Infrastructure,2023-07-06,2024-12-13,0.52,Agricultural,12,1,0,0,0,13.92,0,3D issued,526,72.9,52.1,22.3,11.7,0,Medium,0.477,0
SYN-LA-00009,Odisha,Rural,Railway,2023-06-15,2024-01-17,3.71,Commercial,18,0,0,0,0,631.3,1,3D issued,216,72.2,38.6,28.7,6.5,1,Low,0.315,174
SYN-LA-00010,Maharashtra,Rural,Railway,2020-09-27,2021-07-10,3.21,Agricultural,20,0,1,0,1,136.01,1,3A issued,286,32.5,23.9,17.1,8.3,0,High,0.664,0
